2024-03-05T17:34:11.672+0530 [INFO]  Main.Core: Swarm key fingerprint: e5b34b687a4f51be1e700825ad8de4ef
2024-03-05T17:34:11.672+0530 [INFO]  Main.Core: Swarm listening on /ip4/127.0.0.1/tcp/4007
2024-03-05T17:34:11.672+0530 [INFO]  Main.Core: Swarm listening on /ip4/172.17.0.1/tcp/4007
2024-03-05T17:34:11.672+0530 [INFO]  Main.Core: Swarm listening on /ip4/192.168.28.230/tcp/4007
2024-03-05T17:34:11.672+0530 [INFO]  Main.Core: Swarm listening on /ip6/2409:40f3:2b:2e81:b025:4d17:867a:1d52/tcp/4007
2024-03-05T17:34:11.672+0530 [INFO]  Main.Core: Swarm listening on /ip6/2409:40f3:2b:2e81:dfac:3e82:5640:e7fc/tcp/4007
2024-03-05T17:34:11.672+0530 [INFO]  Main.Core: Swarm listening on /ip6/::1/tcp/4007
2024-03-05T17:34:11.672+0530 [INFO]  Main.Core: Swarm listening on /p2p-circuit
2024-03-05T17:34:11.672+0530 [INFO]  Main.Core: Swarm announcing /ip4/127.0.0.1/tcp/4007
2024-03-05T17:34:11.672+0530 [INFO]  Main.Core: Swarm announcing /ip4/192.168.28.230/tcp/4007
2024-03-05T17:34:11.672+0530 [INFO]  Main.Core: Swarm announcing /ip6/2409:40f3:2b:2e81:b025:4d17:867a:1d52/tcp/4007
2024-03-05T17:34:11.672+0530 [INFO]  Main.Core: Swarm announcing /ip6/::1/tcp/4007
2024-03-05T17:34:11.672+0530 [INFO]  Main.Core: API server listening on /ip4/127.0.0.1/tcp/5007
2024-03-05T17:34:11.672+0530 [INFO]  Main.Core: WebUI: http://127.0.0.1:5007/webui
2024-03-05T17:34:11.672+0530 [INFO]  Main.Core: Gateway (readonly) server listening on /ip4/127.0.0.1/tcp/8086
2024-03-05T17:34:11.672+0530 [INFO]  Main.Core: IPFS Daemon is ready
2024-03-05T17:34:11.673+0530 [INFO]  Main.Core: Node PeerID : 12D3KooWQL3ycCqN3KCMqMLw2BkhqUransVcJeAc56VDSgfJefih
2024-03-05T17:34:11.673+0530 [INFO]  Main.Core: Setting up the core
2024-03-05T17:34:11.674+0530 [INFO]  Main.Core: Starting the core
2024-03-05T17:34:11.674+0530 [INFO]  Main.Core.enswebserver: Starting Server at localhost:27010
2024-03-05T17:34:11.674+0530 [INFO]  Main.Core.enswebserver: Server running at : https://localhost:27010
2024-03-05T17:34:11.674+0530 [INFO]  Main.grpc: GRPC Server created
2024-03-05T17:34:11.674+0530 [INFO]  Main.grpc: Running GRPC server...
2024-03-05T17:34:11.675+0530 [INFO]  Main: Swagger URL : http://localhost:20005/swagger/index.html
2024-03-05T17:34:11.675+0530 [INFO]  Main: Core version : 0.0.9
2024-03-05T17:34:11.675+0530 [INFO]  Main: Starting server...
2024-03-05T17:34:11.675+0530 [INFO]  Main.enswebserver: Starting Server at localhost:20005
2024-03-05T17:34:11.675+0530 [INFO]  Main.enswebserver: Server running at : http://localhost:20005
2024-03-05T18:03:37.980+0530 [INFO]  Main.Core: DID : bafybmieoqzfiofzjqb3vau6dz2lgthrxvxxboxjmxmmtzy6rpq75vjpdeq, Time to create DID & Keys : 1m15.945906521s
2024-03-08T12:24:55.684+0530 [INFO]  Main.Core: Waiting for IPFS daemon to start
2024-03-08T12:24:55.714+0530 [INFO]  Main.Core: Initializing daemon...
2024-03-08T12:24:55.714+0530 [INFO]  Main.Core: Kubo version: 0.19.2
2024-03-08T12:24:55.714+0530 [INFO]  Main.Core: Repo version: 13
2024-03-08T12:24:55.714+0530 [INFO]  Main.Core: System version: amd64/linux
2024-03-08T12:24:55.714+0530 [INFO]  Main.Core: Golang version: go1.19.8
2024-03-08T12:24:55.762+0530 [INFO]  Main.Core: 
2024-03-08T12:24:55.762+0530 [INFO]  Main.Core: Computed default go-libp2p Resource Manager limits based on:
2024-03-08T12:24:55.762+0530 [INFO]  Main.Core:     - 'Swarm.ResourceMgr.MaxMemory': "8.2 GB"
2024-03-08T12:24:55.762+0530 [INFO]  Main.Core:     - 'Swarm.ResourceMgr.MaxFileDescriptors': 524288
2024-03-08T12:24:55.762+0530 [INFO]  Main.Core: 
2024-03-08T12:24:55.762+0530 [INFO]  Main.Core: Theses can be inspected with 'ipfs swarm resources'.
2024-03-08T12:24:55.762+0530 [INFO]  Main.Core: 
2024-03-08T12:24:55.774+0530 [INFO]  Main.Core: Swarm is limited to private network of peers with the swarm key
2024-03-08T12:24:55.774+0530 [INFO]  Main.Core: Swarm key fingerprint: e5b34b687a4f51be1e700825ad8de4ef
